Transaction Arrival Rate,Block Size,Latency,Throughput,Latency_Pred,Throughput_Pred
30.1,155.0,1.13,28.3,1.134,29.9
30.1,160.0,1.12,28.5,1.134,29.939999999999998
30.1,165.0,1.14,28.4,1.14,29.68
30.1,170.0,1.13,28.4,1.1359999999999997,28.52
30.0,175.0,1.15,28.6,1.134,28.52
30.0,180.0,1.14,28.7,1.1320000000000001,28.82
30.1,185.0,1.11,28.5,1.1320000000000001,28.82
30.1,190.0,1.13,29.9,1.128,28.879999999999995
30.1,195.0,1.13,28.4,1.1300000000000001,30.1
30.1,200.0,1.13,28.9,1.136,30.060000000000002
30.0,205.0,1.14,28.8,1.13,26.919999999999998
30.1,210.0,1.14,28.7,1.142,28.76
30.1,215.0,1.14,28.5,1.148,29.839999999999996
30.0,220.0,1.13,28.4,1.13,26.880000000000003
30.1,225.0,1.13,28.7,1.13,28.74
30.0,230.0,1.11,28.7,1.136,29.1
30.1,235.0,1.15,29.7,1.14,29.259999999999998
30.1,240.0,1.13,29.9,1.128,27.339999999999996
30.1,245.0,1.13,29.7,1.14,29.32
30.1,250.0,1.11,28.8,1.14,30.78
30.0,255.0,1.13,28.6,1.1359999999999997,27.96
30.1,260.0,1.14,28.6,1.1400000000000001,29.74
30.1,265.0,1.15,28.5,1.134,28.78
30.1,270.0,1.12,28.5,1.134,28.76
30.1,275.0,1.13,29.7,1.132,28.76
30.1,280.0,1.13,28.5,1.138,29.839999999999996
30.1,285.0,1.13,28.6,1.136,29.02
30.1,290.0,1.14,28.7,1.138,28.860000000000003
30.1,295.0,1.15,28.5,1.142,30.02
30.1,300.0,1.14,28.6,1.14,29.96
30.1,305.0,1.13,28.3,1.142,28.98
30.1,310.0,1.13,28.3,1.1459999999999997,29.839999999999996
30.1,315.0,1.14,29.5,1.134,30.22
30.0,320.0,1.14,28.8,1.132,29.0
30.1,325.0,1.12,29.8,1.134,29.060000000000002
30.1,330.0,1.13,28.6,1.138,29.02
30.1,335.0,1.14,28.6,1.142,29.0
30.1,340.0,1.16,29.3,1.15,29.859999999999996
30.1,345.0,1.16,28.7,1.148,29.079999999999995
30.1,350.0,1.16,29.4,1.15,28.919999999999998
30.1,355.0,1.12,29.9,1.154,28.8
30.1,360.0,1.14,28.7,1.1359999999999997,29.820000000000004
30.1,365.0,1.13,28.9,1.142,29.839999999999996
30.1,370.0,1.14,29.9,1.132,26.939999999999998
30.1,375.0,1.14,29.6,1.132,26.9
30.1,380.0,1.13,28.5,1.132,28.880000000000003
30.1,385.0,1.14,28.5,1.132,29.96
30.1,390.0,1.12,28.5,1.128,29.02
30.1,395.0,1.13,29.7,1.13,29.879999999999995
30.1,400.0,1.12,29.9,1.128,29.02
35.1,10.0,0.16,35.0,0.21000000000000002,34.58
35.1,15.0,0.26,32.9,0.28,33.260000000000005
35.0,20.0,0.32,34.9,0.32399999999999995,34.160000000000004
35.0,25.0,0.4,35.0,0.404,33.800000000000004
35.1,30.0,0.48,33.0,0.472,34.22
35.1,35.0,0.56,33.2,0.554,33.82
35.1,40.0,0.6,35.0,0.632,33.82000000000001
35.1,45.0,0.73,32.9,0.6960000000000001,32.92
35.1,50.0,0.79,35.0,0.75,35.32
35.1,55.0,0.84,32.9,0.884,32.72
35.1,60.0,0.94,33.8,0.9460000000000001,34.61999999999999
35.1,65.0,1.01,33.4,1.02,34.5
35.1,70.0,1.09,33.2,1.0699999999999998,33.839999999999996
35.1,75.0,1.16,34.4,1.1119999999999997,33.980000000000004
35.1,80.0,1.15,34.4,1.14,34.220000000000006
35.1,85.0,1.15,34.5,1.156,34.38
35.1,90.0,1.15,34.6,1.1620000000000001,34.16
35.1,95.0,1.17,34.0,1.17,33.980000000000004
35.1,100.0,1.19,33.3,1.174,33.959999999999994
35.1,105.0,1.19,33.5,1.172,33.980000000000004
35.1,110.0,1.17,34.4,1.168,34.16
35.1,115.0,1.14,34.7,1.166,34.22
35.0,120.0,1.15,34.9,1.154,33.22
35.1,125.0,1.18,33.6,1.1599999999999997,33.16
35.1,130.0,1.13,34.8,1.1540000000000001,33.0
35.1,135.0,1.18,34.0,1.1619999999999997,34.46
35.0,140.0,1.14,32.7,1.154,32.8
35.1,145.0,1.16,34.3,1.162,33.92
35.1,150.0,1.17,34.4,1.158,34.019999999999996
35.1,155.0,1.16,34.2,1.162,34.379999999999995
35.1,160.0,1.16,34.5,1.156,34.480000000000004
35.1,165.0,1.16,34.5,1.15,33.28
35.1,170.0,1.13,34.8,1.152,33.14
35.1,175.0,1.14,34.8,1.158,35.019999999999996
35.2,180.0,1.18,33.5,1.158,34.9
35.1,185.0,1.15,34.4,1.15,33.1
35.0,190.0,1.16,34.3,1.158,34.28
35.1,195.0,1.15,34.8,1.148,33.26
35.1,200.0,1.15,34.4,1.154,33.16
35.1,205.0,1.15,34.5,1.154,33.11999999999999
35.1,210.0,1.18,33.4,1.1620000000000001,34.059999999999995
35.0,215.0,1.15,34.3,1.15,33.379999999999995
35.0,220.0,1.13,34.9,1.15,32.62
35.1,225.0,1.13,32.7,1.15,32.74
35.1,230.0,1.16,34.3,1.1480000000000001,33.379999999999995
35.1,235.0,1.18,34.0,1.158,33.62
35.1,240.0,1.14,34.8,1.156,32.39999999999999
35.1,245.0,1.13,34.8,1.154,33.58
35.0,250.0,1.16,34.3,1.152,34.22
35.1,255.0,1.14,32.7,1.152,34.0
35.1,260.0,1.16,34.5,1.15,32.959999999999994
35.1,265.0,1.15,34.7,1.148,31.8
35.0,270.0,1.15,34.7,1.1540000000000001,33.86
35.1,275.0,1.15,34.5,1.158,33.9
35.1,280.0,1.18,33.9,1.1599999999999997,33.61999999999999
35.1,285.0,1.17,33.8,1.162,33.58
35.1,290.0,1.14,34.7,1.168,35.18
35.0,295.0,1.16,34.2,1.158,33.1
35.1,300.0,1.15,34.6,1.166,34.84
35.1,305.0,1.17,34.3,1.16,34.36
35.1,310.0,1.18,34.0,1.156,34.04
35.1,315.0,1.14,34.7,1.154,34.06
35.0,320.0,1.14,32.6,1.152,34.02
35.1,325.0,1.14,34.7,1.148,34.10000000000001
35.1,330.0,1.16,34.1,1.152,33.980000000000004
35.1,335.0,1.16,34.4,1.154,34.42
35.0,340.0,1.16,34.1,1.16,34.24
35.1,345.0,1.15,34.8,1.17,34.1
35.1,350.0,1.17,33.8,1.166,33.76
35.2,355.0,1.21,33.4,1.162,33.879999999999995
35.0,360.0,1.14,32.7,1.16,32.660000000000004
35.1,365.0,1.14,34.7,1.158,33.38000000000001
35.1,370.0,1.18,34.0,1.146,34.18
35.1,375.0,1.16,34.4,1.148,34.56
35.1,380.0,1.14,34.6,1.142,32.760000000000005
35.1,385.0,1.14,34.6,1.148,33.68
