Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
15.0,395.0,3.0,1.12,14.7,1.124,14.7
15.0,400.0,3.0,1.12,14.7,1.122,14.679999999999998
15.0,405.0,3.0,1.12,14.7,1.12,14.680000000000001
15.0,410.0,3.0,1.12,14.6,1.12,14.680000000000001
15.0,415.0,3.0,1.12,14.7,1.12,14.680000000000001
15.0,420.0,3.0,1.12,14.7,1.122,14.679999999999998
15.0,425.0,3.0,1.12,14.7,1.122,14.7
15.0,430.0,3.0,1.13,14.7,1.122,14.7
15.0,435.0,3.0,1.12,14.7,1.122,14.7
15.0,440.0,3.0,1.12,14.7,1.118,14.7
15.0,445.0,3.0,1.12,14.7,1.12,14.679999999999998
15.0,450.0,3.0,1.12,14.7,1.12,14.680000000000001
15.0,455.0,3.0,1.1,14.7,1.12,14.680000000000001
15.0,460.0,3.0,1.13,14.6,1.12,14.680000000000001
15.0,465.0,3.0,1.12,14.7,1.118,14.680000000000001
15.0,470.0,3.0,1.13,14.6,1.1179999999999999,14.680000000000001
15.0,475.0,3.0,1.13,14.7,1.122,14.679999999999998
15.0,480.0,3.0,1.12,14.7,1.118,14.7
15.0,485.0,3.0,1.11,14.7,1.118,14.7
15.0,490.0,3.0,1.12,14.7,1.118,14.7
15.0,495.0,3.0,1.11,14.7,1.116,14.7
15.0,500.0,3.0,1.13,14.7,1.118,14.7
15.0,505.0,3.0,1.12,14.7,1.122,14.679999999999998
15.0,510.0,3.0,1.12,14.7,1.122,14.66
15.0,515.0,3.0,1.13,14.7,1.124,14.66
15.0,520.0,3.0,1.13,14.6,1.124,14.66
15.0,525.0,3.0,1.12,14.6,1.124,14.66
15.0,530.0,3.0,1.09,14.7,1.124,14.66
15.0,535.0,3.0,1.12,14.7,1.124,14.66
15.0,540.0,3.0,1.13,14.7,1.124,14.679999999999998
15.0,545.0,3.0,1.12,14.7,1.124,14.7
15.0,550.0,3.0,1.13,14.7,1.124,14.7
15.0,555.0,3.0,1.13,14.7,1.124,14.7
15.0,560.0,3.0,1.12,14.7,1.124,14.7
15.0,565.0,3.0,1.12,14.7,1.122,14.7
15.0,570.0,3.0,1.12,14.7,1.12,14.679999999999998
15.0,575.0,3.0,1.12,14.7,1.122,14.680000000000001
15.0,580.0,3.0,1.12,14.6,1.122,14.680000000000001
15.0,585.0,3.0,1.13,14.7,1.126,14.680000000000001
15.0,590.0,3.0,1.13,14.7,1.126,14.680000000000001
15.0,595.0,3.0,1.13,14.7,1.124,14.679999999999998
15.0,600.0,3.0,1.13,14.7,1.126,14.679999999999998
15.0,605.0,3.0,1.12,14.7,1.126,14.679999999999998
15.0,610.0,3.0,1.11,14.7,1.126,14.66
15.0,615.0,3.0,1.13,14.7,1.124,14.66
15.0,620.0,3.0,1.13,14.6,1.124,14.66
15.0,625.0,3.0,1.13,14.6,1.122,14.66
15.0,630.0,3.0,1.12,14.6,1.124,14.66
15.0,635.0,3.0,1.12,14.7,1.122,14.679999999999998
15.0,640.0,3.0,1.12,14.7,1.122,14.679999999999998
15.0,645.0,3.0,1.12,14.7,1.12,14.679999999999998
15.0,650.0,3.0,1.12,14.7,1.122,14.66
15.0,655.0,3.0,1.12,14.6,1.122,14.66
15.0,660.0,3.0,1.13,14.6,1.122,14.66
15.0,665.0,3.0,1.12,14.7,1.124,14.66
15.0,670.0,3.0,1.12,14.7,1.124,14.66
15.0,675.0,3.0,1.12,14.7,1.124,14.679999999999998
15.0,680.0,3.0,1.13,14.7,1.122,14.7
15.0,685.0,3.0,1.12,14.7,1.122,14.7
15.0,690.0,3.0,1.12,14.7,1.116,14.7
15.0,695.0,3.0,1.12,14.7,1.108,14.7
15.0,700.0,3.0,1.09,14.7,1.1,14.7
15.0,705.0,3.0,1.09,14.7,1.096,14.7
15.0,710.0,3.0,1.08,14.7,1.0879999999999999,14.7
15.0,715.0,3.0,1.1,14.7,1.088,14.7
15.0,720.0,3.0,1.08,14.7,1.088,14.7
15.0,725.0,3.0,1.09,14.7,1.0899999999999999,14.7
15.0,730.0,3.0,1.09,14.7,1.092,14.7
15.0,735.0,3.0,1.09,14.7,1.0939999999999999,14.7
15.0,740.0,3.0,1.11,14.7,1.0939999999999999,14.7
15.0,745.0,3.0,1.09,14.7,1.0939999999999999,14.719999999999999
15.0,750.0,3.0,1.09,14.7,1.096,14.720000000000002
15.0,755.0,3.0,1.09,14.7,1.0960000000000003,14.720000000000002
15.0,760.0,3.0,1.09,14.8,1.096,14.720000000000002
15.0,765.0,3.0,1.1,14.7,1.09,14.720000000000002
15.0,770.0,3.0,1.09,14.8,1.09,13.760000000000002
15.0,775.0,3.0,1.08,14.7,1.088,13.760000000000002
15.0,780.0,3.0,1.1,14.7,1.09,14.739999999999998
15.0,785.0,3.0,1.08,14.7,1.0879999999999999,13.74
15.0,790.0,3.0,1.09,14.7,1.084,12.8
15.0,795.0,3.0,1.09,14.7,1.092,14.7
15.0,800.0,3.0,1.09,14.8,1.096,14.66
20.0,10.0,3.0,0.27,20.0,0.446,18.880000000000003
20.0,15.0,3.0,0.42,19.4,0.484,18.82
20.0,20.0,3.0,0.53,20.0,0.5900000000000001,19.880000000000003
